5,6,8,10,12,15
1,1,1,1,1,1
0.9524,0.9434,0.9259,0.9091,0.8929,0.8696
0.9070,0.8900,0.8573,0.8264,0.7972,0.7561
0.8638,0.8396,0.7938,0.7513,0.7118,0.6575
0.8227,0.7921,0.7350,0.6830,0.6355,0.5718
0.7835,0.7473,0.6806,0.6209,0.5674,0.4972
0.7462,0.7050,0.6302,0.5645,0.5066,0.4323
0.7107,0.6651,0.5835,0.5132,0.4523,0.3759
0.6768,0.6274,0.5403,0.4665,0.4039,0.3269
0.6446,0.5919,0.5002,0.4241,0.3606,0.2843
0.6139,0.5584,0.4632,0.3855,0.3220,0.2472
